duration,depth,scramble,is_solved,solve_steps,solution
0.080612,12,10 6 4 1 4 5 10 7 8 3 5 0,1,100,
0.21223,12,9 8 10 5 5 5 0 10 7 0 2 9,1,139,
113.276687,12,8 8 11 11 7 11 1 5 10 3 11 4,1,29767,
3.4062,12,0 2 2 2 7 0 11 11 4 3 0 5,1,2082,
162.465789,12,5 5 2 11 11 8 7 10 10 1 5 2,0,30001,
4.742591,12,11 2 5 2 6 7 3 4 3 8 11 4,1,2317,
176.33856,12,7 7 5 2 2 9 8 5 4 1 8 4,1,27101,
80.057602,12,8 0 5 1 9 10 10 10 9 9 1 3,0,30001,
145.258606,12,4 8 6 9 8 3 3 11 3 7 5 1,0,30001,
135.012125,12,4 0 1 2 3 6 7 6 8 5 0 5,0,30001,
48.675358,12,0 1 1 10 1 2 5 4 9 11 1 10,1,11538,
178.007787,12,2 6 8 10 0 5 3 0 2 10 11 9,1,27232,
12.474315,12,11 8 9 8 9 6 2 1 9 8 11 6,1,2865,
165.760399,12,9 5 6 3 8 5 3 5 5 7 3 6,0,30001,
87.54305,13,3 5 4 7 8 0 7 6 5 7 6 9 2,1,16662,
191.457307,13,4 2 4 2 4 11 0 2 11 10 2 6 7,0,30001,
98.38702,13,8 8 1 3 10 0 11 4 0 0 1 5 8,0,30001,
67.19463,13,9 7 9 11 4 3 3 3 8 7 6 1 5,1,18401,
156.95372,13,3 10 0 1 6 6 4 1 3 11 3 11 1,0,30001,
98.643243,13,3 3 1 4 6 3 4 5 6 11 0 0 2,0,30001,
0.598469,13,9 10 5 3 2 3 3 0 10 5 10 3 2,1,502,
34.293722,13,9 6 4 8 3 5 9 9 7 7 3 4 7,1,11787,
0.291569,13,2 7 9 4 3 10 5 6 4 5 10 8 11,1,186,
0.909745,13,4 4 11 2 2 4 7 6 6 2 11 3 2,1,456,
26.691483,13,0 10 7 9 7 9 4 6 8 7 0 0 11,1,10723,
193.873569,13,5 6 3 4 3 11 7 7 4 3 5 7 2,0,30001,
18.040675,13,1 5 5 5 8 0 3 4 11 0 2 0 2,1,6361,
42.041533,13,4 3 11 4 3 0 10 10 3 7 6 1 0,1,14410,
167.091583,13,3 11 6 4 6 10 2 6 9 0 1 5 10,0,30001,
98.386276,13,8 3 8 8 3 0 3 11 10 2 7 2 3,1,16252,
27.70753,13,4 7 3 6 8 9 4 2 1 2 7 9 9,1,7134,
10.456858,13,8 11 6 9 5 1 4 8 0 1 0 5 7,1,4873,
25.857342,13,6 8 10 3 1 5 10 5 1 9 1 6 6,1,4939,
124.274486,13,2 7 5 4 8 1 3 5 8 6 1 4 7,0,30001,
4.398986,14,4 5 1 1 11 6 2 9 11 2 5 1 4 1,1,2052,
1.54632,14,9 5 3 4 5 4 1 5 3 8 11 7 0 11,1,602,
91.088186,14,6 9 8 5 2 9 0 11 7 8 9 10 9 7,0,30001,
