duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2.759077,9,4 3 6 10 3 6 2 5 5,1,3500,13,9,15,8.906133419
9.075371,9,0 3 4 3 2 6 5 1 5,1,7141,27,13,15,9.257718987
0.368282,9,11 10 6 6 1 10 1 2 9,1,365,5,5,11,7.136078874
0.014492,9,2 10 9 8 3 10 11 4 1,1,21,11,5,6,4.286363636
0.082801,9,6 11 11 10 2 7 2 3 8,1,148,15,7,10,6.293132328
0.232251,9,10 0 4 7 0 10 2 10 5,1,251,33,5,11,7.73279419
0.122602,9,3 3 3 10 9 9 0 11 4,1,164,23,5,10,5.752790545
0.110344,9,1 0 8 0 7 6 8 10 5,1,196,5,5,8,5.340163934
0.647756,9,7 7 10 8 8 11 7 9 6,1,927,9,9,12,8.308654725
4.485407,9,9 6 11 10 8 10 6 1 6,1,4986,11,9,17,9.555223174
0.480778,9,5 2 7 6 1 11 3 11 1,1,433,17,7,11,7.300436495
4.630875,9,5 2 0 2 5 4 5 7 5,1,3679,13,9,15,10.11371149
73.749493,9,7 11 7 3 11 1 8 10 0,1,49309,29,13,23,12.55486003
19.15333,10,11 3 3 6 6 6 5 6 11 4,1,14160,152,8,19,11.75382922
186.219764,10,0 11 3 11 11 6 6 10 8 11,1,86919,158,16,22,13.62980918
2.445604,10,10 9 9 9 9 0 11 1 8 11,1,2202,6,6,16,8.687299461
0.198566,10,7 8 4 2 11 11 1 2 9 11,1,270,22,6,10,6.230259099
0.098314,10,0 1 9 11 9 7 10 1 9 2,1,128,50,8,11,6.742172611
39.907264,10,5 6 7 2 0 10 9 9 11 10,1,23683,62,10,18,10.81919952
13.244656,10,11 3 10 0 7 2 0 3 5 8,1,5969,22,6,19,10.7660126
0.266068,10,11 4 8 4 7 10 0 2 11 4,1,410,18,10,11,7.226898295
0.003023,10,10 5 4 1 5 8 3 1 0 1,1,3,2,2,2,1.6875
0.641726,10,4 2 11 7 9 2 10 5 1 5,1,594,36,8,13,8.283589101
0.400276,10,3 3 7 10 5 4 4 11 3 0,1,521,46,8,13,7.805905156
1.724097,10,2 0 7 4 11 1 0 7 3 10,1,1115,114,6,14,9.442473996
