duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
44.337997,9,3 0 11 6 10 2 10 7 2,1,13305,121,11,25,16.06136962
0.50794,10,9 4 3 7 0 3 6 1 5 2,1,459,20,6,14,8.82673382
33.370185,10,11 3 1 0 5 8 11 9 0 5,1,13973,308,18,25,14.27528617
0.095981,10,3 8 11 9 11 2 0 0 11 7,1,65,20,8,9,6.116438356
5.27501,10,4 1 4 4 6 6 2 7 3 4,1,5298,48,18,18,10.9426667
0.115012,10,9 1 0 0 0 2 2 9 5 9,1,117,38,6,11,7.207409753
0.769122,10,6 11 3 3 10 3 6 1 10 11,1,684,56,10,12,8.314589823
0.941405,10,7 7 2 0 8 11 8 8 5 10,1,851,54,10,15,8.753909977
55.323675,10,2 9 1 3 11 10 9 11 3 11,1,16109,378,12,22,14.093349
135.705744,10,5 3 7 2 6 4 7 9 2 0,1,43225,226,8,25,14.52461338
0.459075,10,0 9 1 1 1 11 10 2 9 4,1,243,70,8,15,9.1050728
47.478194,10,5 2 5 6 7 3 4 9 6 7,1,22459,146,12,22,12.72724819
19.915274,10,1 10 5 3 0 2 9 7 6 9,1,5361,210,14,16,10.030116
0.096457,10,11 11 10 10 0 10 2 9 4 4,1,135,46,8,9,6.626774848
0.103197,10,6 4 11 4 3 7 5 10 8 3,1,104,12,8,9,5.348050037
2.706722,10,10 2 1 8 8 8 8 4 9 4,1,1689,18,8,16,10.47923396
485.678933,10,11 11 3 3 6 6 9 9 6 10,1,92606,246,18,25,15.60189623
17.718237,10,8 0 11 0 1 4 2 2 11 3,1,11302,86,10,20,12.01476823
110.16762,10,10 11 6 5 3 6 8 8 6 5,1,49586,190,20,25,15.14336884
61.591318,10,0 5 3 0 2 2 10 1 4 4,1,26251,182,14,23,15.81758944
12.976689,10,0 10 1 8 0 5 4 11 0 8,1,10052,54,10,20,12.13307768
284.658732,11,8 3 1 9 0 8 8 7 2 4 9,1,66339,231,13,24,15.88351058
10.054039,11,1 0 5 1 2 3 10 1 5 0 9,1,3915,75,11,17,10.14107361
28.500782,11,6 6 11 1 4 2 2 0 1 6 11,1,10392,307,11,25,13.63480738
0.289205,11,1 11 10 9 1 10 10 10 3 0 7,1,296,73,9,10,6.545687784
147.630116,11,8 11 2 7 5 9 1 9 4 6 2,1,23848,339,15,21,12.90970054
2.265504,11,8 7 7 9 2 11 3 0 4 5 1,1,1661,133,11,19,10.5611632
19.773707,11,10 8 10 10 2 4 6 10 2 6 2,1,7519,205,15,22,13.62222612
26.821855,11,0 3 3 0 3 3 1 10 5 2 1,1,16850,59,13,21,14.26258187
0.447866,11,7 8 7 6 8 6 3 1 6 5 9,1,409,43,9,12,7.627079721
2.829146,11,4 1 4 9 8 6 10 2 5 8 6,1,2236,39,9,19,10.06321222
20.895474,11,7 11 7 6 8 8 0 4 6 4 2,1,16739,43,9,24,13.21577776
26.124562,11,8 11 0 11 0 8 4 4 0 10 2,1,10010,91,13,22,13.90878302
11.042073,11,1 5 3 11 9 10 9 6 5 1 3,1,5690,155,11,19,10.85423297
55.209848,11,9 5 1 3 3 0 7 7 4 3 5,1,16709,93,13,21,13.11462065
89.750021,11,2 7 4 9 9 1 2 11 7 0 11,1,40561,179,11,23,14.35066484
0.721819,11,6 7 3 6 8 11 9 2 4 11 1,1,374,73,9,12,7.047836195
0.224955,11,9 10 0 1 1 10 6 8 3 5 10,1,304,13,7,13,7.967204396
2.025195,11,4 8 5 2 9 7 10 1 4 1 9,1,1474,139,13,16,9.172532983
58.187764,11,1 6 7 6 4 4 8 0 3 0 4,1,27884,81,13,25,14.95901434
3.808779,11,6 8 9 4 6 9 9 2 5 6 11,1,1846,105,9,17,10.83297651
0.156256,12,8 5 2 2 2 10 5 6 9 2 10 9,1,139,34,6,11,5.810296586
3.530242,12,6 4 0 4 8 0 9 0 0 3 3 7,1,1777,162,12,17,9.723896734
16.289694,12,9 2 7 3 8 5 4 9 9 10 1 1,1,5502,202,12,19,12.24143795
3.399757,12,9 0 1 5 4 2 5 8 11 10 9 8,1,2459,38,12,18,11.48948665
27.407161,12,6 8 0 10 2 7 9 8 3 4 5 5,1,7551,242,12,21,12.79914389
4.320317,12,9 7 11 8 0 5 1 6 1 9 6 5,1,2453,184,12,17,9.751658004
2.053557,12,5 4 4 1 6 7 10 1 8 10 5 5,1,1958,26,8,14,9.06015431
0.209369,12,1 3 0 8 6 1 11 8 11 9 7 9,1,186,4,4,13,8.02915242
0.871476,12,5 1 2 5 2 10 6 1 1 6 2 3,1,839,24,10,16,8.193017435
8.37272,12,3 0 8 7 3 11 2 10 3 0 10 11,1,4251,162,14,20,12.24304511
122.402457,12,6 7 10 11 7 4 11 7 4 0 0 3,1,43757,158,18,23,13.94184908
2.572552,12,1 11 0 3 4 8 7 3 3 0 5 2,1,1647,104,12,17,10.41862884
20.268322,12,0 1 5 9 11 6 10 11 11 6 8 0,1,11555,112,10,20,12.48127604
0.296151,12,5 0 2 1 2 3 7 0 5 9 7 7,1,224,88,6,11,7.663813282
0.190479,12,1 8 10 2 0 0 7 7 5 4 7 0,1,195,16,8,10,6.637032495
184.368589,12,11 2 3 10 10 2 6 6 10 8 10 3,1,91162,60,14,25,14.40815399
75.109349,12,0 3 10 3 7 11 10 3 11 2 6 1,1,28393,296,14,22,13.55806995
3.515563,12,7 11 11 1 1 9 4 4 9 6 11 4,1,3801,54,8,18,10.00991204
8.270856,12,4 11 4 9 0 10 1 0 8 9 5 9,1,4163,134,14,17,10.55748186
5.27385,12,8 10 5 2 0 4 9 6 8 1 9 10,1,2814,236,16,17,11.04725756
0.069324,13,1 10 8 5 4 11 4 4 11 10 2 11 4,1,81,35,9,10,7.399869679
0.28628,13,6 2 10 11 9 11 10 6 3 8 5 7 8,1,379,45,7,12,7.230520159
7.326884,13,1 3 5 0 4 0 9 11 1 1 9 2 11,1,4353,51,9,18,11.20015462
0.162209,13,5 1 2 11 4 3 8 3 11 4 4 5 8,1,175,33,9,11,6.887578071
10.603679,13,3 4 0 7 7 2 10 1 1 8 6 1 9,1,5572,47,9,21,12.73562894
234.044715,13,10 1 11 2 9 11 10 1 3 11 8 4 11,1,77001,63,19,23,15.16946578
45.599152,13,4 4 9 1 4 4 4 11 2 7 11 8 0,1,16198,175,13,24,13.72033196
14.264626,13,3 6 1 10 10 5 3 8 8 5 5 1 8,1,8975,47,5,19,12.10096621
3.866364,13,4 8 7 7 5 4 4 6 4 4 8 6 8,1,3052,25,9,17,9.97903499
85.502336,13,11 11 6 9 5 7 9 10 10 5 3 3 4,1,32024,201,11,21,12.57867709
0.341067,13,5 2 6 3 2 11 1 1 3 3 3 0 7,1,262,43,9,12,8.19252389
312.244209,13,9 2 11 11 8 9 11 3 11 11 11 1 8,1,62298,415,19,24,15.35443242
100.873774,13,5 9 7 5 2 10 8 1 4 5 7 2 6,1,28563,189,19,23,15.45041679
