start_dt,stop_dt,duration,depth,scramble,is_solved,solve_steps,sol_len_naive,sol_len_bfs,tree_depth_max,tree_depth_mean
2023-08-22T00:00:44.753202,2023-08-22T00:01:19.370696,34.617494,41,4 6 5 2 5 4 5 10 9 6 2 6 7 7 5 0 3 7 2 1 1 4 1 8 8 6 6 7 7 9 4 8 4 7 6 1 6 11 3 6 9,0,30001,-1,-1,21,12.343738273834642
2023-08-22T00:01:20.552177,2023-08-22T00:01:52.547387,31.99521,42,9 4 11 8 6 10 10 10 3 7 7 3 6 5 0 8 3 8 1 8 10 8 0 4 8 8 4 1 9 5 4 5 2 5 0 9 4 6 7 2 1 10,0,30001,-1,-1,22,11.70995320148214
2023-08-22T00:01:53.600657,2023-08-22T00:02:30.785972,37.185315,42,6 2 3 8 0 10 6 10 7 9 10 9 6 9 9 0 7 0 3 1 4 8 3 0 0 1 0 0 7 3 6 7 8 8 11 6 7 5 10 9 2 9,0,30001,-1,-1,21,12.920383362565772
2023-08-22T00:02:32.278017,2023-08-22T00:03:18.857207,46.57919,42,5 9 1 6 5 0 4 1 8 7 0 9 9 7 4 11 7 5 0 2 4 5 4 6 3 2 6 8 6 6 11 7 5 2 6 4 2 4 8 11 10 10,0,30001,-1,-1,22,14.10940171966207
2023-08-22T00:03:23.674553,2023-08-22T00:04:26.310075,62.635522,42,7 9 0 10 11 9 7 10 9 11 9 7 11 9 8 10 6 3 1 2 5 10 10 8 5 8 8 5 3 2 10 7 10 9 0 3 0 10 5 8 1 10,0,30001,-1,-1,23,14.117539526724258
2023-08-22T00:04:27.479858,2023-08-22T00:05:01.321219,33.841361,42,3 8 0 11 9 9 2 5 4 9 4 6 7 6 5 9 4 5 2 0 2 2 11 1 10 2 11 3 1 10 0 3 2 11 0 7 9 5 5 7 0 1,0,30001,-1,-1,21,11.698302159051117
2023-08-22T00:05:02.526719,2023-08-22T00:05:40.444881,37.918162,42,5 1 1 0 7 6 7 9 2 6 1 10 8 10 8 1 3 10 7 4 5 1 10 5 1 2 4 11 1 4 5 2 9 0 8 0 4 6 11 7 10 1,0,30001,-1,-1,20,12.20703528686335
2023-08-22T00:05:41.680706,2023-08-22T00:06:30.601740,48.921034,42,3 5 4 9 6 4 1 8 9 10 0 5 0 3 6 6 3 6 7 4 1 9 4 11 0 9 4 11 8 0 8 10 0 7 9 11 8 9 9 6 9 9,0,30001,-1,-1,21,12.482528608909107
2023-08-22T00:06:31.416473,2023-08-22T00:07:09.866023,38.44955,42,6 5 2 1 3 11 4 8 10 3 5 0 10 2 9 8 0 7 6 10 9 10 11 2 6 1 2 5 1 6 9 8 9 6 7 5 1 9 9 9 1 1,0,30001,-1,-1,23,13.986924566566536
2023-08-22T00:07:12.412270,2023-08-22T00:08:12.795367,60.383097,42,9 11 0 7 11 6 8 11 11 1 10 0 7 8 7 5 8 9 0 2 1 9 5 6 5 9 7 6 5 6 2 2 0 7 0 8 0 8 6 11 1 2,0,30001,-1,-1,25,14.428101492710985
2023-08-22T00:08:14.539326,2023-08-22T00:09:04.515261,49.975935,42,4 4 1 2 4 2 1 6 9 6 5 3 11 2 3 3 11 1 9 5 7 11 2 10 2 10 3 5 10 7 8 9 5 6 2 4 5 4 8 8 1 6,0,30001,-1,-1,21,12.039539528385177
2023-08-22T00:09:05.839807,2023-08-22T00:09:42.654966,36.815159,42,7 5 7 3 8 4 2 4 6 3 0 8 9 0 4 5 4 11 8 1 9 5 10 0 1 4 5 4 4 8 4 1 5 0 4 3 6 10 2 4 6 5,0,30001,-1,-1,23,12.763666906564032
2023-08-22T00:09:43.882863,2023-08-22T00:10:19.256256,35.373393,42,1 3 11 11 3 1 8 6 5 10 2 5 4 5 8 9 5 5 1 1 1 8 6 10 0 7 2 6 6 3 4 6 10 5 7 11 7 11 7 9 0 2,0,30001,-1,-1,23,13.583627608071119
2023-08-22T00:10:20.883051,2023-08-22T00:10:57.489107,36.606056,42,7 2 2 0 2 7 0 2 4 6 11 6 4 5 5 2 10 1 3 1 3 8 1 11 11 7 5 3 0 8 1 1 3 0 9 7 2 4 5 1 11 6,0,30001,-1,-1,21,12.592649663521959
2023-08-22T00:10:58.626893,2023-08-22T00:11:44.501033,45.87414,42,8 6 9 9 7 9 8 0 3 2 2 5 6 9 1 9 10 5 9 0 5 3 1 9 11 7 6 4 8 7 4 7 6 2 10 5 4 3 11 1 8 0,0,30001,-1,-1,22,12.343032016967983
2023-08-22T00:11:45.569515,2023-08-22T00:12:40.128617,54.559102,42,0 3 3 0 2 0 1 11 0 10 10 5 9 9 1 5 10 1 9 8 11 10 11 10 1 10 3 8 11 10 1 8 11 3 1 2 3 8 1 10 9 8,0,30001,-1,-1,23,14.41625177624715
2023-08-22T00:12:41.597400,2023-08-22T00:13:24.690787,43.093387,42,7 8 4 1 2 3 7 9 4 9 8 10 2 6 10 1 3 3 3 4 0 10 2 7 2 10 8 5 1 4 3 1 11 9 4 1 8 7 3 11 8 6,0,30001,-1,-1,24,14.125341600028182
2023-08-22T00:13:27.275297,2023-08-22T00:14:08.881985,41.606688,42,5 5 6 8 4 8 10 2 6 7 5 6 3 4 2 0 2 10 9 4 0 9 11 3 6 7 4 1 10 1 10 0 0 7 5 4 5 4 9 9 8 10,0,30001,-1,-1,21,12.21882604514716
2023-08-22T00:14:10.332834,2023-08-22T00:14:47.572905,37.240071,42,5 8 11 3 6 6 3 5 5 10 0 10 7 5 2 5 4 2 6 1 5 6 5 9 9 5 9 5 10 9 1 5 5 8 4 0 2 2 4 8 6 4,0,30001,-1,-1,22,15.179659775024515
2023-08-22T00:14:49.749809,2023-08-22T00:15:25.046912,35.297103,42,4 5 9 11 4 5 5 9 10 9 8 9 9 7 0 1 8 1 3 5 8 4 11 11 8 3 11 2 11 6 9 2 4 3 5 10 7 7 3 7 9 8,0,30001,-1,-1,22,13.508109421152737
2023-08-22T00:15:27.803436,2023-08-22T00:16:28.107869,60.304433,42,6 1 5 5 4 5 6 9 4 9 11 9 8 6 2 2 2 0 11 7 8 0 3 7 5 2 11 7 2 3 10 1 2 4 1 9 9 8 0 3 4 11,0,30001,-1,-1,25,18.11367091379012
2023-08-22T00:16:44.149674,2023-08-22T00:17:21.573740,37.424066,43,6 5 7 5 5 9 2 6 10 6 2 2 2 1 8 0 3 8 5 10 3 5 7 4 5 8 9 7 4 2 7 2 10 7 10 6 4 3 10 3 10 6 1,0,30001,-1,-1,23,13.003954682930969
2023-08-22T00:17:23.223167,2023-08-22T00:17:51.392778,28.169611,43,6 1 3 4 6 2 9 7 5 7 4 2 7 5 3 7 8 7 8 10 2 3 0 0 1 9 10 8 0 4 2 4 9 10 7 3 1 11 9 9 11 10 2,0,30001,-1,-1,21,11.921811497089017
2023-08-22T00:17:52.673974,2023-08-22T00:18:43.868651,51.194677,43,10 11 6 9 4 8 9 11 0 10 10 9 5 7 8 3 3 6 9 6 8 4 0 3 0 8 10 10 1 0 8 10 9 0 0 5 7 7 10 5 10 5 6,0,30001,-1,-1,23,13.196569603472367
2023-08-22T00:18:45.116500,2023-08-22T00:19:30.647814,45.531314,43,10 3 11 6 4 2 3 2 6 1 4 1 1 0 11 3 5 10 6 5 7 2 0 7 6 4 8 7 0 11 6 1 6 10 5 6 2 2 7 5 8 9 1,0,30001,-1,-1,23,12.775012135456135
2023-08-22T00:19:31.459971,2023-08-22T00:21:11.749772,100.289801,43,5 0 3 5 8 8 10 6 10 8 11 11 6 3 2 6 7 4 7 8 9 2 7 7 8 10 5 3 6 7 9 1 6 8 7 2 6 5 4 7 9 5 5,0,30001,-1,-1,25,14.024500109658245
2023-08-22T00:21:13.262910,2023-08-22T00:21:52.807396,39.544486,43,0 3 6 10 0 3 11 11 11 3 5 1 10 10 6 11 1 3 3 0 11 1 8 5 8 11 11 1 5 9 11 0 1 5 3 3 7 5 0 1 4 2 4,0,30001,-1,-1,21,11.75540852089222
2023-08-22T00:21:53.650314,2023-08-22T00:22:26.638403,32.988089,43,5 1 2 1 10 6 10 3 10 11 3 7 10 2 7 11 4 0 9 9 10 10 10 3 11 1 1 10 8 11 3 7 3 7 5 3 1 1 1 3 7 8 6,0,30001,-1,-1,23,15.38983585647908
2023-08-22T00:22:29.608696,2023-08-22T00:23:34.780400,65.171704,43,4 7 4 5 2 9 9 5 7 9 4 2 2 10 3 2 4 7 2 5 1 8 7 3 11 8 8 9 8 6 11 9 8 0 11 7 2 9 1 3 2 0 8,0,30001,-1,-1,23,14.082551756551894
2023-08-22T00:23:36.829613,2023-08-22T00:24:08.990067,32.160454,43,3 0 9 2 2 9 2 4 9 6 1 1 5 4 5 9 6 11 9 1 8 10 6 11 6 10 1 9 8 1 5 6 7 3 6 6 4 11 9 9 6 9 8,0,30001,-1,-1,22,12.7790430931453
2023-08-22T00:24:10.368739,2023-08-22T00:24:44.987588,34.618849,43,5 5 7 11 0 2 6 2 3 10 2 5 1 2 5 10 8 10 3 8 4 8 3 5 5 5 2 0 7 9 1 11 10 5 5 5 3 2 7 5 10 8 1,0,30001,-1,-1,25,12.644245316732183
2023-08-22T00:24:46.236850,2023-08-22T00:25:39.713371,53.476521,43,4 2 4 6 7 7 11 9 7 5 9 8 4 1 5 10 6 8 1 9 6 10 7 8 10 10 11 10 3 6 7 3 1 4 4 1 5 10 7 7 9 4 1,0,30001,-1,-1,24,14.461009029257074
2023-08-22T00:25:41.677961,2023-08-22T00:26:14.305235,32.627274,43,0 1 5 4 3 10 0 1 0 8 4 2 0 11 6 2 7 11 6 1 3 2 0 1 4 1 6 6 11 1 6 7 0 8 9 4 4 3 7 7 11 0 8,0,30001,-1,-1,21,11.4913161059814
2023-08-22T00:26:15.200357,2023-08-22T00:26:55.563746,40.363389,43,4 7 4 3 1 1 4 0 5 8 5 10 6 1 10 6 9 10 1 4 8 3 10 3 8 5 1 11 7 5 7 9 10 11 11 1 11 0 5 6 10 8 5,0,30001,-1,-1,22,11.5099762716413
2023-08-22T00:26:56.443198,2023-08-22T00:27:45.421879,48.978681,43,8 3 8 0 4 2 10 8 7 3 10 3 2 0 10 0 10 9 7 7 2 3 0 9 1 3 2 6 6 9 8 7 5 9 4 0 8 10 11 4 1 3 2,0,30001,-1,-1,26,15.432669667353437
2023-08-22T00:27:47.559392,2023-08-22T00:28:34.679570,47.120178,43,1 0 2 0 1 11 7 8 7 0 5 7 10 7 6 2 5 0 3 7 2 2 10 2 0 0 10 8 5 7 5 3 4 0 11 3 5 7 2 7 0 1 0,0,30001,-1,-1,21,13.937196285736183
2023-08-22T00:28:36.367949,2023-08-22T00:29:19.715352,43.347403,43,9 2 2 9 11 10 0 10 6 6 6 7 10 11 4 9 9 2 6 9 11 10 8 5 10 9 4 3 4 4 2 5 8 3 4 5 3 10 9 5 3 6 5,0,30001,-1,-1,23,12.939100740588719
2023-08-22T00:29:20.882766,2023-08-22T00:30:26.970237,66.087471,43,5 10 0 8 4 2 7 0 10 10 0 7 2 5 6 7 8 3 5 6 6 1 8 3 10 11 0 3 10 8 5 3 6 11 11 10 10 7 10 10 0 9 7,0,30001,-1,-1,21,13.40946435688758
2023-08-22T00:30:29.040347,2023-08-22T00:31:13.279898,44.239551,43,9 11 0 3 4 3 2 5 8 9 4 8 4 4 1 4 3 2 2 4 4 7 0 11 4 11 8 4 0 4 9 4 11 9 0 10 6 2 6 2 3 6 9,0,30001,-1,-1,21,13.083368693913735
2023-08-22T00:31:14.721885,2023-08-22T00:31:47.043950,32.322065,43,3 6 8 11 0 8 9 2 4 4 9 4 2 6 10 2 5 3 5 5 7 3 11 8 11 11 6 2 7 5 7 3 10 10 9 11 6 3 5 6 10 6 6,0,30001,-1,-1,21,13.098296784975176
2023-08-22T00:31:48.967160,2023-08-22T00:32:33.575333,44.608173,43,10 7 0 1 2 2 10 5 1 11 3 2 10 3 3 11 2 4 0 7 9 0 5 3 0 7 10 8 5 5 8 11 1 10 10 2 11 8 4 5 7 3 0,0,30001,-1,-1,25,14.023862459190926
2023-08-22T00:32:35.598215,2023-08-22T00:33:20.803237,45.205022,44,6 4 3 4 0 10 0 10 3 0 8 5 8 8 7 0 4 11 1 8 4 11 3 1 1 1 5 6 9 9 4 2 3 3 5 6 10 1 1 11 7 2 3 4,0,30001,-1,-1,20,12.63873167074881
2023-08-22T00:33:21.916903,2023-08-22T00:34:20.248817,58.331914,44,4 6 8 9 4 6 6 7 0 9 2 5 1 8 9 7 3 6 1 0 0 7 6 4 8 5 0 10 10 11 3 1 5 7 8 0 0 3 10 10 6 4 5 9,0,30001,-1,-1,24,13.741097719543635
2023-08-22T00:34:22.950658,2023-08-22T00:34:58.141378,35.19072,44,5 1 0 5 6 3 7 2 3 3 1 8 9 8 9 11 6 2 1 2 0 1 11 3 7 0 8 3 4 6 9 7 4 8 6 1 3 10 6 7 2 4 9 11,0,30001,-1,-1,21,12.741512221679756
2023-08-22T00:35:00.417855,2023-08-22T00:35:45.277379,44.859524,44,7 11 4 1 6 1 6 3 6 7 2 1 6 8 11 1 4 5 4 3 4 8 9 5 1 8 6 7 6 3 10 10 6 11 0 4 9 2 5 5 6 1 2 5,0,30001,-1,-1,24,13.079171547470839
2023-08-22T00:35:46.838621,2023-08-22T00:36:37.891787,51.053166,44,1 5 4 7 0 2 1 5 5 0 2 6 7 4 8 0 1 4 2 10 5 10 9 0 10 0 9 5 1 1 4 7 6 4 9 10 6 5 10 6 7 3 6 5,0,30001,-1,-1,22,13.25234865102839
2023-08-22T00:36:40.455497,2023-08-22T00:37:24.281754,43.826257,44,10 0 3 8 6 5 9 6 2 9 8 4 11 6 8 4 0 3 8 10 3 10 8 6 1 1 11 7 8 4 3 1 10 0 10 6 9 0 1 6 6 3 6 4,0,30001,-1,-1,21,12.684978599977493
2023-08-22T00:37:25.263625,2023-08-22T00:38:08.676939,43.413314,44,7 4 9 10 5 0 8 7 11 1 10 5 6 9 1 5 3 10 6 11 6 5 7 8 7 2 1 4 11 10 6 7 9 6 9 5 10 1 10 3 8 9 8 7,0,30001,-1,-1,23,13.248101415828003
2023-08-22T00:38:09.890506,2023-08-22T00:38:48.137566,38.24706,44,4 7 4 0 8 3 2 3 5 6 6 9 6 5 9 5 6 9 2 2 9 11 8 9 6 3 4 1 10 2 3 3 0 8 8 7 10 5 7 4 2 3 11 10,0,30001,-1,-1,24,13.26265765806318
2023-08-22T00:38:49.814150,2023-08-22T00:39:36.956823,47.142673,44,9 9 0 9 11 10 10 3 0 4 6 8 3 1 2 4 6 11 9 6 6 7 0 10 10 7 3 5 7 2 7 2 4 11 11 7 11 1 4 8 0 7 8 11,0,30001,-1,-1,22,12.89155178475663
2023-08-22T00:39:38.067800,2023-08-22T00:40:28.139946,50.072146,44,10 6 6 2 0 5 3 11 6 8 1 6 5 9 6 10 10 3 11 7 4 9 9 8 4 3 4 7 0 11 7 5 2 9 7 6 4 1 1 5 6 6 11 0,0,30001,-1,-1,22,11.800836757404554
2023-08-22T00:40:28.957376,2023-08-22T00:41:13.689821,44.732445,44,10 0 5 1 5 5 5 9 9 2 1 1 4 2 4 0 5 6 10 5 4 7 3 0 0 8 8 7 8 9 8 7 6 2 0 3 8 10 2 6 11 7 2 3,0,30001,-1,-1,23,12.910656172519682
2023-08-22T00:41:15.406206,2023-08-22T00:41:51.843591,36.437385,44,2 9 11 9 0 3 10 8 5 5 3 10 6 6 2 6 5 8 3 2 1 0 4 9 1 5 6 7 11 1 6 7 2 3 2 0 2 4 2 10 8 8 1 5,0,30001,-1,-1,25,14.095359391447696
