duration,depth,scramble,is_solved,solve_steps,solution
152.327966,16,8 4 5 1 2 5 6 11 1 6 1 0 8 7 4 11,0,30001,
6.08165,16,1 8 7 2 10 5 4 7 4 8 9 4 11 10 1 6,1,2810,
78.595917,16,11 9 11 6 10 1 11 11 6 7 11 11 7 3 4 1,0,30001,
200.364157,16,4 5 6 8 0 10 3 10 11 10 1 9 8 11 1 3,0,30001,
89.287366,17,7 4 8 5 10 2 10 10 11 8 3 6 3 6 9 6 4,1,13144,
81.264272,17,5 4 9 5 3 2 9 2 2 3 1 1 11 3 0 9 11,0,30001,
10.662549,17,3 0 4 9 10 3 11 6 10 11 3 2 6 11 1 5 2,1,4865,
142.118481,17,10 8 9 8 11 10 0 10 6 8 0 10 3 7 10 6 6,0,30001,
82.667319,17,8 10 2 6 1 0 10 10 8 6 8 11 11 2 10 11 3,0,30001,
25.064243,17,9 6 11 3 0 11 3 11 7 2 3 0 0 11 6 6 3,1,8828,
58.740422,17,3 8 0 4 9 8 0 8 6 2 10 7 7 7 5 7 0,1,21403,
38.891589,17,0 1 10 7 3 6 3 2 11 10 9 0 4 3 0 0 1,1,9436,
107.731781,17,8 7 5 9 4 4 5 1 9 9 6 10 2 6 9 1 9,0,30001,
79.194657,17,1 4 2 0 0 5 9 10 9 9 5 6 1 1 8 3 4,0,30001,
38.509747,17,3 11 10 5 10 0 8 1 11 6 7 6 6 1 6 9 9,1,8872,
208.148998,17,7 7 9 11 7 4 7 2 3 3 11 6 5 2 3 6 8,0,30001,
130.053628,17,7 8 4 9 7 8 9 9 0 0 7 5 10 3 6 6 2,1,28228,
43.920708,17,9 9 8 0 11 6 2 10 0 2 7 0 4 11 9 10 5,1,12680,
133.703421,17,6 3 8 9 8 4 7 2 4 4 9 4 2 2 1 3 0,0,30001,
84.303275,17,9 5 0 3 1 6 3 10 9 4 2 3 1 9 9 0 10,0,30001,
17.73328,17,6 7 5 0 2 2 6 4 7 11 9 7 0 7 11 2 2,1,6786,
269.106106,17,3 10 6 1 9 1 2 6 7 4 3 10 10 7 11 3 6,0,30001,
154.465999,17,9 5 3 4 11 7 3 6 10 1 4 5 7 5 9 1 5,0,30001,
105.502275,17,8 0 9 11 10 6 1 10 5 5 8 11 2 6 9 7 9,0,30001,
69.561708,18,6 1 0 10 3 3 4 2 2 9 0 9 6 6 1 4 11 2,1,15628,
12.156346,18,8 0 9 9 0 11 0 5 6 2 7 11 9 11 9 11 10 5,1,4674,
29.3529,18,0 3 6 4 8 4 0 10 3 6 8 3 5 0 3 1 10 2,1,10610,
7.579723,18,6 10 7 6 7 0 3 4 4 0 0 9 2 3 5 3 4 6,1,3696,
26.128996,18,3 3 7 7 5 9 7 9 9 11 1 4 7 11 3 6 4 7,1,10569,
17.88514,18,8 7 2 10 6 9 11 7 3 7 10 8 11 8 1 6 3 1,1,5934,
167.742951,18,3 1 2 3 5 5 1 10 7 7 11 8 6 6 2 2 11 1,0,30001,
1.462025,18,5 5 3 11 10 3 6 11 2 9 6 9 11 2 1 4 5 9,1,1005,
6.21812,18,4 4 7 10 1 11 0 1 0 0 1 3 0 5 8 8 1 0,1,2404,
14.149682,18,8 8 7 7 3 0 3 8 11 3 7 7 7 11 0 9 5 10,1,5040,
43.470437,18,0 7 7 0 5 2 3 3 2 4 11 9 7 11 8 6 9 5,1,10217,
202.226372,18,10 3 6 10 10 2 1 4 4 6 10 0 8 0 2 9 6 2,1,29627,
133.599923,18,3 0 2 10 1 0 0 0 2 1 6 3 2 11 1 5 6 9,1,23184,
81.347242,18,2 9 6 3 5 5 7 7 8 1 6 11 11 4 4 1 1 10,1,29429,
0.563862,18,3 5 1 8 11 8 9 7 6 4 1 2 6 1 9 11 8 6,1,355,
98.464072,18,11 0 8 7 10 9 10 11 9 7 10 1 2 0 8 3 11 4,0,30001,
17.213923,18,0 10 1 5 1 11 0 3 11 9 7 4 5 3 11 11 0 1,1,7116,
126.838968,18,0 2 4 6 5 7 5 7 8 0 1 11 4 1 8 5 2 1,0,30001,
162.631827,18,4 7 8 4 11 2 9 1 8 5 2 0 7 4 8 7 2 2,0,30001,
105.758331,18,6 1 3 7 2 2 7 3 3 1 10 7 4 9 7 5 1 9,0,30001,
139.941835,19,8 1 8 0 10 11 0 2 2 1 4 3 10 8 1 9 11 7 8,0,30001,
52.6258,19,11 11 2 0 4 3 3 5 3 6 2 7 0 9 5 7 10 11 7,1,19373,
105.26814,19,8 0 3 0 7 9 5 9 7 4 1 11 4 2 4 0 7 3 7,1,29264,
25.202312,19,8 9 4 0 1 4 9 1 3 1 11 10 2 2 5 0 9 4 5,1,6403,
72.201638,19,0 3 0 9 4 2 4 0 10 7 10 3 10 3 0 2 11 7 10,1,25902,
76.50154,19,2 3 10 11 4 5 4 4 5 1 2 1 0 8 9 7 11 10 9,1,27831,
86.998902,19,3 2 4 4 3 8 8 4 8 7 4 1 6 10 5 10 0 8 4,0,30001,
58.332801,19,4 6 5 0 8 9 9 1 3 11 8 8 5 2 10 5 2 0 5,1,14378,
150.594919,19,2 10 1 1 0 2 1 1 6 11 10 7 9 0 9 4 9 2 7,0,30001,
131.160929,19,10 7 10 0 8 0 4 0 4 0 8 10 0 0 9 1 5 2 5,0,30001,
20.528422,19,6 3 4 8 11 1 11 8 7 7 4 3 6 3 10 9 5 8 3,1,9497,
15.961195,19,11 9 5 4 8 3 2 3 4 0 5 0 5 2 5 9 2 2 11,1,5948,
96.921612,19,11 11 7 2 3 4 5 5 2 1 6 2 9 6 11 2 11 10 0,0,30001,
66.071354,19,7 3 7 8 8 0 7 3 6 10 3 1 3 0 4 8 4 8 10,1,29392,
11.071746,19,2 3 6 9 7 2 6 4 1 9 2 0 2 7 5 8 8 8 11,1,3264,
139.525298,19,2 7 5 10 1 3 8 5 0 0 1 2 2 11 3 6 6 7 3,0,30001,
0.741177,19,4 0 1 0 8 11 7 4 6 3 3 6 8 5 2 0 2 1 10,1,794,
91.227645,19,6 2 4 0 0 2 11 4 1 9 9 6 2 5 4 0 1 6 4,0,30001,
124.641952,19,7 3 10 3 11 4 6 1 4 11 8 10 7 2 7 4 1 5 5,0,30001,
104.474995,19,7 3 11 10 6 8 3 1 9 1 1 8 11 9 11 0 11 11 3,0,30001,
25.125738,20,3 0 9 10 5 1 5 4 11 3 2 0 3 11 8 6 1 8 5 10,1,8489,
14.408017,20,6 2 3 5 4 6 6 10 8 8 9 5 10 7 3 8 5 0 10 2,1,4786,
74.875296,20,2 11 4 4 7 4 9 2 1 0 10 7 0 0 9 0 1 4 9 11,0,30001,
3.432817,20,7 3 7 6 5 1 1 10 10 7 10 6 10 8 11 7 3 5 4 8,1,1801,
34.192859,20,4 9 9 4 1 8 0 9 0 8 0 11 10 6 1 11 8 10 2 3,1,14616,
4.872475,20,3 2 9 10 5 6 7 6 3 7 4 2 7 4 3 1 5 4 9 9,1,3022,
1.117508,20,9 2 0 4 6 6 2 11 8 4 7 9 7 5 9 4 11 3 6 6,1,588,
157.220248,20,6 6 4 6 3 11 3 5 9 2 10 2 1 6 5 10 3 11 2 4,1,27353,
148.413445,20,1 0 0 9 7 10 6 5 8 1 2 7 3 1 10 10 0 9 2 6,0,30001,
5.357774,20,4 0 1 3 4 6 1 3 7 7 0 7 8 3 1 2 0 7 11 3,1,2220,
118.201608,20,1 11 6 3 8 5 7 11 11 4 3 0 11 3 0 1 1 11 6 9,0,30001,
22.741376,20,7 5 8 3 5 10 6 7 5 5 6 9 5 4 0 5 7 4 3 11,1,7463,
93.463729,20,8 5 1 1 5 3 10 0 11 3 5 9 8 1 2 4 6 11 9 10,0,30001,
95.706827,20,4 3 11 1 2 4 11 9 11 0 8 9 0 0 10 7 7 6 4 0,0,30001,
126.994844,20,1 4 0 10 11 3 2 0 9 7 4 11 9 9 2 3 3 11 0 3,1,21836,
101.717362,20,5 7 7 11 10 8 0 5 6 2 10 2 1 10 10 9 2 3 0 5,1,21042,
4.210639,20,1 3 10 6 5 2 7 4 5 8 1 10 7 11 4 8 9 7 3 0,1,2149,
209.917783,20,2 10 9 8 10 1 9 1 8 0 4 4 8 6 8 10 11 3 4 4,0,30001,
12.208965,20,11 7 5 0 1 11 2 5 0 4 5 8 5 9 8 5 10 7 7 4,1,3843,
73.088679,20,0 0 9 5 4 4 9 2 10 2 1 6 8 8 1 11 4 3 8 1,1,20474,
